Element name,Element definition,Value definitions
monitoringSiteIdentifier,Unique international identifier of the monitoring site in which the data were obtained.,
monitoringSiteIdentifierScheme,Specification of whether the monitoring site is a WFD monitoring site ('euMonitoringSiteCode') or not ('eionetMonitoringSiteCode').,"eionetMonitoringSiteCode: EIONET identifier;
euMonitoringSiteCode: WFD identifier "
parameterWaterBodyCategory,"Water body category code, as defined in the codelist.",http://dd.eionet.europa.eu/vocabulary/wise/WFDWaterBodyCategory/
parameterNCSWaterBodyType,Type of water body as defined by the member state.,
observedPropertyDeterminandBiologyEQRCode,"Determinand code for biological metrics, as defined in the vocabulary.",http://dd.eionet.europa.eu/vocabulary/wise/ObservedPropertyBiologyEQR/
phenomenonTimeReferenceYear,Year during which the data were sampled.,
parameterSamplingPeriod,The period of the year during which the data used for the aggregation were sampled.,
resultEcologicalStatusClassValue,"Ecological status class (or ecological potential class, for artificial and heavily modified water bodies) assessed on the basis of the reported biological determinand.","1: High status or maximum potential;
2: Good status or potential;
3: Moderate status or potential;
345: Moderate, poor or bad status or potential;
4: Poor status or potential;
5: Bad status or potential"
resultNumberOfSamples,Number of sample values included in the aggregated data.,
resultEQRValue,Mean value of the biological metric converted to the national Ecological Quality Ratio (EQR) scale.,
resultNormalisedEQRValue,Mean value of metric converted to normalised EQR scale (Ecological Quality Ratio).,
resultObservationStatus,"Status of the observed value in terms of its availability, relevancy, correctness or specifics of its source category.","A: Record is confirmed as correct;
L: Missing observed value, the data were not collected;
M: Missing observed value, the data can not exist;
N: Missing observed value, observed value is not relevant or not significant;
O: Missing observed value, no further information is available or record reported in the past should be deleted;
W: Missing observed value, data are included in another source category;
X: Reported value includes data from another source category (categories);
Y: The source category does not exactly match the standard definition"
Remarks,"Remarks, comments or explanatory notes.",
metadata_versionId,Unique metadata identifier of version of the feature or record. Url that points either to the source of the reported data or to a page providing information on the data origin.,
metadata_beginLifeSpanVersion,Timestamp when feature or record was created. In case of reported data it's the release date and time of the respective CDR envelope.,
metadata_statusCode,Status of the feature or record regarding its registration.,"valid: accepted and valid reported feature or record;
stable: accepted and valid reported record, confirmed by the reporter as correct;
experimental: derived feature or record, e.g. legacy record converted to the new structure by EEA or records with updated spatial identifiers "
metadata_observationStatus,Status of the record regarding its reliability.,"A: Normal record;
U: Record with lower reliability;
V: Unvalidated record"
metadata_statements,Aditional information or statements regarding the reliability of the feature or record.,
UID,Unique identifier of the record in the EEA WISE_SOE database.,
