Number,Data
0, ROLNCAPMLA 02
1,0
2,01GH1N
3,01GH2N
4,01GH4N
5,01SS1N
6,01SS2N
7,02AS6T
8,02GL1T
9,02IN7T
10,02SR2D
11,02SR3F
12,02SR6T
13,02SS1D
14,02SS1T
15,02SS2D
16,02SS2F
17,02SS2N
18,02SS2T
19,02SS3D
20,02SS3T
21,02SS4F
22,02SS5F
23,03GH1N
24,03GH2N
25,03GH6N
26,03SR3N
27,03SS1N
28,03SS2N
29,03SS3N
30,03SS4N
31,06AS6T
32,06SR2T
33,06SR6T
34,06SS2T
35,06SS3D
36,06SS3T
37,06SS4D
38,06SS4FSISI
39,06SS4T
40,06SS5D
41,06SS5F
42,1
43,10
44,101
45,103
46,105
47,106
48,108
49,109
50,11
51,110
52,111
53,112
54,118
55,12
56,124
57,126
58,127
59,12SS3T
60,13
61,14
62,15
63,15_g
64,15g
65,16
66,16IN7T
67,17
68,17IN7T
69,18
70,18IN7F
71,19
72,1A
73,1B
74,1a
75,1b
76,2
77,2.2
78,20
79,21
80,22
81,23
82,24
83,25
84,26
85,2A
86,2A 
87,2B
88,2a
89,2a_HMWB
90,2b
91,3
92,31
93,32
94,33
95,34
96,3A
97,3B
98,3a
99,3a_HMWB
100,3b
101,4
102,4B
103,5
104,5a
105,5b
106,6
107,6a
108,6b
109,7
110,7a
111,7b
112,8
113,9
114,9.1
115,9.2
116,A3
117,"AF - 1,75"
118,AF - A
119,AF - H2
120,AF - I-II B
121,AF - II
122,AF - me1
123,AF - me2
124,AF - mt
125,AF - om
126,"AM - 1,75"
127,AM - II
128,AM - mt
129,"AV - 1,75"
130,AV - II
131,AV - mt
132,Alpine
133,Ami_119
134,Awe
135,Awe_196
136,Awe_200
137,B1
138,B1(P1V)
139,B2
140,BERW_00585
141,BERW_03381
142,BERW_03550
143,BERW_04380
144,BERW_04388
145,BERW_04390
146,BERW_11216
147,BERW_12031
148,BERW_12311
149,BERW_14504
150,BERW_15050
151,BERW_15053
152,BERW_15066
153,BERW_40000
154,BERW_40201
155,BERW_40203
156,BERW_40205
157,BERW_40234
158,BERW_50054
159,BERW_50056
160,"BR - 1,75"
161,BR - II
162,BR - me1
163,Bg
164,BgK
165,BgK_136
166,Bs_202
167,C1
168,C1a
169,C1b
170,Ca
171,Calcários do Algarve
172,Cb
173,Cc
174,Clear
175,Curso Principal
176,D1
177,D1(P1V)
178,D2a
179,D3
180,"DO - 1,75"
181,DO - 2
182,DO - H1
183,DO - II
184,DO - me2
185,Depósitos Sedimentares do Tejo e Sado
186,E1
187,E2
188,ESt
189,Esk
190,F10014
191,F10020
192,F10022
193,F10025
194,F10029
195,F10045
196,F10049
197,F10072
198,F10076
199,F10077
200,F10079
201,F10086
202,F10089
203,F10101
204,F10115
205,F10128
206,F10148
207,F10171
208,F10188
209,F10194
210,F10212
211,F10223
212,F10233
213,F10244
214,F10248
215,F10250
216,F10270
217,F10286
218,F10328
219,F10335
220,F10339
221,F10361
222,F10370
223,F10374
224,F10396
225,F10409
226,F10416
227,F10427
228,F10441
229,F10449
230,F10465
231,F10466
232,F10469
233,F10475
234,F10512
235,F10527
236,F10533
237,F10541
238,F10542
239,F10548
240,F10550
241,F10555
242,F10574
243,F10606
244,F10626
245,F10636
246,F10639
247,F10644
248,F10649
249,F10654
250,F10657
251,F10661
252,F10663
253,F10665
254,F10669
255,F10681
256,F10688
257,F10693
258,F10700
259,F10702
260,F10707
261,F10710
262,F10715
263,F10728
264,F10735
265,F10737
266,F10743
267,F10744
268,F10746
269,F10748
270,F10757
271,F10763
272,F10898
273,F10900
274,F10918
275,F10981
276,F11203
277,F11204
278,F11289
279,F11335
280,"FH - 1,75"
281,FH - 2
282,FH - H1
283,FH - II
284,FH - me2
285,G1
286,G10
287,G10/4
288,G11/3-21
289,G12
290,G14/1
291,G14/3
292,G16
293,G18/4
294,G2
295,G21
296,G3
297,G3/19-8
298,G5
299,G6
300,G9
301,G9-10/21
302,"GF - 1,75"
303,GF - II
304,GF - me2
305,"GG - 1,75"
306,GG - II
307,GG - me2
308,GM14
309,GM19/8
310,GM20
311,GM20/9
312,GM22
313,GM5/2
314,GM6/1
315,GM6/2-7
