CountryCode,parameterICStatusOfDeterminandBiologyEQR,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45
AT,0.5555555555555556,0.8000000000000003,0.5999999999999999,0.40000000000000013,0.20000000000000007
BE,0.5555555555555556,0.8000000000000003,0.5999999999999999,0.40000000000000013,0.20000000000000007
BG,0.0,0.7965333333333332,0.5996666666666666,0.4117333333333334,0.25306666666666666
CY,0.5555555555555556,0.8000000000000003,0.5999999999999999,0.40000000000000013,0.20000000000000007
EE,0.875,0.6359999999999999,0.386,0.276,0.196
FI,0.0,0.7999999999999999,0.6,0.39999999999999997,0.19999999999999998
GB,0.8409090909090909,0.8305128205128209,0.626666666666667,0.40948717948717966,0.23692307692307688
HR,0.0,0.8187500000000001,0.61875,0.4187500000000001,0.21875000000000003
IE,1.0,0.8040000000000004,0.6031999999999997,0.4008000000000002,0.2052000000000001
LT,0.6666666666666666,0.7433333333333334,0.48000000000000004,0.2666666666666667,0.09666666666666668
LV,1.0,0.8049999999999999,0.605,0.405,0.2
NL,0.0,0.8000000000000008,0.5481372549019595,0.36531764705882347,0.1829573529411765
PL,0.972972972972973,0.7432432432432425,0.5072972972972976,0.3060135135135132,0.13851351351351351
RO,0.0,0.7741176470588237,0.5717647058823527,0.38588235294117657,0.25
SE,0.2857142857142857,0.71265306122449,0.5079591836734693,0.386530612244898,0.09999999999999996
SI,0.6666666666666666,0.7999999999999999,0.5999999999999999,0.39999999999999997,0.19999999999999998
