CountryCode,parameterICStatusOfDeterminandBiologyEQR,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45
AT,0.0,0.8170967741935486,0.6009677419354842,0.41870967741935466,0.23774193548387093
BE,0.7177914110429447,0.964214046822744,0.7040286298568512,0.4711451942740292,0.27764826175869134
BG,0.2413793103448276,0.8173793103448276,0.6340689655172415,0.4133448275862069,0.2609655172413793
CY,1.0,0.9630000000000001,0.7222142857142856,0.4823571428571428,0.2424285714285714
DE,1.0,0.7649999999999999,0.575,0.4133333333333334,0.17666666666666667
EE,0.8461538461538461,0.8499999999999998,0.6545454545454548,0.5199999999999999,0.3399999999999999
ES,0.10655737704918032,0.8633333333333335,0.6490476190476191,0.43174603174603177,0.21746031746031755
FI,0.7368421052631579,0.8000000000000003,0.5999999999999999,0.40000000000000013,0.20000000000000007
FR,0.0,0.9355767553051664,0.7883046685446008,0.5498697207042262,0.29586819084507066
GB,0.6116504854368932,0.9138235294117661,0.7784803921568633,0.6159113300492607,0.4564532019704437
HR,0.0,0.7999999999999985,0.600000000000001,0.39999999999999925,0.19999999999999962
IE,1.0,0.8499999999999986,0.75,0.65,0.45000000000000073
IT,0.4,0.9067010309278348,0.7039999999999996,0.5310999999999997,0.2918999999999997
LT,0.5,0.6975000000000003,0.5375,0.3700000000000001,0.22500000000000003
LU,1.0,0.9728,0.7540000000000001,0.5204,0.3036
LV,0.45454545454545453,0.9120000000000001,0.702,0.41200000000000003,0.248
NL,0.0,0.7999999999999987,0.4286585365853661,0.2863414634146342,0.14524390243902432
NO,1.0,0.9614285714285715,0.83,0.5499999999999999,0.27
PL,0.9940119760479041,0.7555029940119766,0.5742814371257481,0.3762574850299397,0.18592814371257463
PT,0.15789473684210525,0.9105263157894737,0.6752631578947369,0.4505263157894736,0.22473684210526312
RO,0.625,0.7254999999999996,0.5429999999999999,0.3815789473684211,0.2
SE,0.8888888888888888,0.8255555555555556,0.6422222222222224,0.4355555555555556,0.27125
SI,0.30158730158730157,0.7999999999999992,0.6000000000000008,0.3999999999999996,0.1999999999999998
SK,0.8,0.8415999999999988,0.6417333333333339,0.4418666666666663,0.24199999999999988
