CountryCode,observedPropertyDeterminandBiologyEQRCode,parameterWaterBodyCategory,parameterNCSWaterBodyType,parameterWFDIntercalibrationWaterBodyType,parameterNaturalAWBHMWB,parameterICStatusOfDeterminandBiologyEQR,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45,procedureBiologicalAnalyticalMethodDescription,resultObservationStatus,Remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
AT,EEA_11-04-1,LW,B1,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1
AT,EEA_11-04-1,LW,B2,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,2
AT,EEA_11-04-1,LW,C1a,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,3
AT,EEA_11-04-1,LW,C1b,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,4
AT,EEA_11-04-1,LW,D1,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,5
AT,EEA_11-04-1,LW,D2a,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,6
AT,EEA_11-04-1,LW,D3,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,7
AT,EEA_11-04-1,LW,E2,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,9
AT,EEA_124-01-6,RW,AF - A,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,10
AT,EEA_124-01-6,RW,AF - H2,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,11
AT,EEA_124-01-6,RW,AF - II,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,12
AT,EEA_124-01-6,RW,AF - I-II B,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,13
AT,EEA_124-01-6,RW,AM - II,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,14
AT,EEA_124-01-6,RW,AV - II,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,15
AT,EEA_124-01-6,RW,BR - II,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,16
AT,EEA_124-01-6,RW,DO - H1,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,17
AT,EEA_124-01-6,RW,DO - II,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,18
AT,EEA_124-01-6,RW,FH - H1,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,19
AT,EEA_124-01-6,RW,FH - II,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,20
AT,EEA_124-01-6,RW,GF - II,,Natural,0,0.8,0.6,0.4,0.2,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,21
BG,EEA_123-01-3,LW,L2,,Natural,0,0.78,0.51,0.26,0,"RI quantifies the deviation of species composition and abundance from reference conditions. RI is based on the composition and abundance of plants assigned to type specific species groups (A, B and C). The маcrophytes quantity =abundance3.",,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1815
BG,EEA_123-01-3,LW,L3,,Natural,0,0.78,0.51,0.26,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1816
BG,EEA_123-01-3,LW,L7,,Natural,0,0.76,0.51,0.26,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1817
BG,EEA_124-01-6,RW,R2,,Natural,0,0.87,0.66,0.45,0.24,"IPS (Coste in CEMAGREF 1982, 1984; Prygiel & Cost 1993; Prygiel et al. 1999)",,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1818
BG,EEA_124-01-6,RW,R4,,Natural,0,0.87,0.66,0.45,0.24,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30 00:00:00.000,experimental,A,,1819
NL,EEA_11-04-1,LW,M3|NL13_29,LW-L-CB2,AWB,0,0.8,0.6,0.4,0.2,http://handboekhydrobiologie.stowa.nl/Het_Handboek/index.aspx,A,,http://cdr.eionet.europa.eu/nl/eea/wise_soe/wise4/envws1gia/WISE-SoE_WaterQuality_13_14_15_20171012._BiologyEQRClassificationProcedu.xml,2017-12-19 13:09:04.000,stable,A,,4328
NL,EEA_11-04-1,LW,M7b|NL13_38_2,LW-L-CB1,AWB,0,0.8,0.6,0.4,0.2,http://handboekhydrobiologie.stowa.nl/Het_Handboek/index.aspx,A,,http://cdr.eionet.europa.eu/nl/eea/wise_soe/wise4/envws1gia/WISE-SoE_WaterQuality_13_14_15_20171012._BiologyEQRClassificationProcedu.xml,2017-12-19 13:09:04.000,stable,A,,4329
NL,EEA_11-04-1,LW,M20|NL13_04,LW-L-CB1,AWB,0,0.8,0.6,0.4,0.2,http://handboekhydrobiologie.stowa.nl/Het_Handboek/index.aspx,A,,http://cdr.eionet.europa.eu/nl/eea/wise_soe/wise4/envws1gia/WISE-SoE_WaterQuality_13_14_15_20171012._BiologyEQRClassificationProcedu.xml,2017-12-19 13:09:04.000,stable,A,,4330
NL,EEA_11-04-1,LW,M14|NL13_08_2,LW-L-CB2,AWB,0,0.8,0.6,0.4,0.2,http://handboekhydrobiologie.stowa.nl/Het_Handboek/index.aspx,A,,http://cdr.eionet.europa.eu/nl/eea/wise_soe/wise4/envws1gia/WISE-SoE_WaterQuality_13_14_15_20171012._BiologyEQRClassificationProcedu.xml,2017-12-19 13:09:04.000,stable,A,,4331
