countryCode,thematicIdIdentifier,thematicIdIdentifierScheme,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,monitoringSiteName,waterBodyIdentifier,waterBodyIdentifierScheme,waterBodyName,specialisedZoneType,naturalAWBHMWB,reservoir,surfaceWaterBodyTypeCode,subUnitIdentifier,subUnitIdentifierScheme,subUnitName,rbdIdentifier,rbdIdentifierScheme,rbdName,confidentialityStatus,lat,lon
AT,ATFW10000027,euMonitoringSiteCode,ATFW10000027,euMonitoringSiteCode,WGEV-STELLE SEEHOF,ATOK1001940001,euSurfaceWaterBodyCode,WULKA_UL,riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.86355,16.65678
AT,ATFW10000077,euMonitoringSiteCode,ATFW10000077,euMonitoringSiteCode,NICKELSDORF,ATOK1000730027,euSurfaceWaterBodyCode,LEITHA_NICKELSDORF,riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.95455,17.07872
AT,ATFW10000087,euMonitoringSiteCode,ATFW10000087,euMonitoringSiteCode,NEUMARKT,ATOK1001040041,euSurfaceWaterBodyCode,RAAB_NEUMARKT,riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.93264,16.17592
AT,ATFW10000177,euMonitoringSiteCode,ATFW10000177,euMonitoringSiteCode,BURG,ATOK1001680030,euSurfaceWaterBodyCode,PINKA_WOPPENDORF,riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.20362,16.41487
AT,ATFW21500097,euMonitoringSiteCode,ATFW21500097,euMonitoringSiteCode,UNTERWASSER KW LAVAMÜND,ATOK900470058,euSurfaceWaterBodyCode,"DRAU (VON 411,2 BIS 435,8)",riverWaterBody,HMWB,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.6404,14.94296
AT,ATFW21500306,euMonitoringSiteCode,ATFW21500306,euMonitoringSiteCode,ROSEGGER SCHLEIFE (DUEL),ATOK900470056,euSurfaceWaterBodyCode,"DRAU (VON 498,5 BIS 505,5)",riverWaterBody,Natural,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.59416,14.03551
AT,ATFW21531167,euMonitoringSiteCode,ATFW21531167,euMonitoringSiteCode,THÖRL MAGLERN,ATOK901850012,euSurfaceWaterBodyCode,"GAILITZ (VON 6,0 BIS 7,6)",riverWaterBody,Natural,Not a reservoir,"MZB_7_1,25",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.53695,13.64813
AT,ATFW21550377,euMonitoringSiteCode,ATFW21550377,euMonitoringSiteCode,TRUTTENDORF,ATOK901970000,euSurfaceWaterBodyCode,"GURK (VON 0,0 BIS 9,5)",riverWaterBody,Natural,Not a reservoir,"MZB_15_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.6052,14.44229
AT,ATFW21551267,euMonitoringSiteCode,ATFW21551267,euMonitoringSiteCode,ZELL/GURNITZ,ATOK903760009,euSurfaceWaterBodyCode,"GLAN (VON 0,0 BIS 5,3)",riverWaterBody,Natural,Not a reservoir,"MZB_15_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.60627,14.40153
AT,ATFW21553436,euMonitoringSiteCode,ATFW21553436,euMonitoringSiteCode,INNERE WIMITZ,ATOK902110000,euSurfaceWaterBodyCode,"WIMITZBACH (VON 17,0 BIS 32,9)",riverWaterBody,Natural,Not a reservoir,"MZB_3_1,5",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.83515,14.30787
AT,ATFW21560297,euMonitoringSiteCode,ATFW21560297,euMonitoringSiteCode,KROTTENDORF,ATOK902870022,euSurfaceWaterBodyCode,"LAVANT (VON 0,0 BIS 6,0)",riverWaterBody,Natural,Not a reservoir,"MZB_15_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.6633,14.94478
AT,ATFW30800027,euMonitoringSiteCode,ATFW30800027,euMonitoringSiteCode,PYBURG,ATOK411270002,euSurfaceWaterBodyCode,"KRAFTWERKSKANAL ST. PANTALEON (ENNS)_02, EP GROß",riverWaterBody,AWB,Not a reservoir,"MZB_11_1,5",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.22718,14.53283
AT,ATFW30900037,euMonitoringSiteCode,ATFW30900037,euMonitoringSiteCode,AMSTETTEN,ATOK408810031,euSurfaceWaterBodyCode,"YBBS_01, EP MITTEL",riverWaterBody,Natural,Not a reservoir,"MZB_11_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.10187,14.94072
AT,ATFW30900167,euMonitoringSiteCode,ATFW30900167,euMonitoringSiteCode,VORDERE TORMÄUER,ATOK409470001,euSurfaceWaterBodyCode,"ERLAUF_05, MR",riverWaterBody,Natural,Not a reservoir,"MZB_5_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.91275,15.20308
AT,ATFW30900217,euMonitoringSiteCode,ATFW30900217,euMonitoringSiteCode,OBERLOIBEN,ATOK410350000,euSurfaceWaterBodyCode,"DONAU_06, KW MELK BIS MAUTERN, EP GROß",riverWaterBody,Natural,Not a reservoir,"MZB_16_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.38892,15.52308
AT,ATFW30900227,euMonitoringSiteCode,ATFW30900227,euMonitoringSiteCode,TRAISEN UNTERHALB TRAISMAUER,ATOK411080008,euSurfaceWaterBodyCode,"TRAISEN_02, EP MITTEL 2",riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.36702,15.77878
AT,ATFW31000067,euMonitoringSiteCode,ATFW31000067,euMonitoringSiteCode,GRUNDDORF,ATOK408650004,euSurfaceWaterBodyCode,"KAMP_02, EP MITTEL 2",riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.41189,15.70696
AT,ATFW31000137,euMonitoringSiteCode,ATFW31000137,euMonitoringSiteCode,MANNSWÖRTH,ATOK405880049,euSurfaceWaterBodyCode,"SCHWECHAT_01, EP MITTEL 2",riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.1439,16.52945
AT,ATFW31000177,euMonitoringSiteCode,ATFW31000177,euMonitoringSiteCode,FISCHAMEND,ATOK405880027,euSurfaceWaterBodyCode,"FISCHA_01, EP GROß",riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.12035,16.60938
AT,ATFW31000187,euMonitoringSiteCode,ATFW31000187,euMonitoringSiteCode,WILDUNGSMAUER,ATOK409040008,euSurfaceWaterBodyCode,"DONAU_02, KW FREUDENAU BIS DEVIN, EP GROß",riverWaterBody,Natural,Not a reservoir,MZB_16_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.11661,16.80332
AT,ATFW31000247,euMonitoringSiteCode,ATFW31000247,euMonitoringSiteCode,"ABSDORF, UH ARA",ATOK408330038,euSurfaceWaterBodyCode,"SCHMIDA_02, EP KLEIN",riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.40232,15.99301
AT,ATFW31000377,euMonitoringSiteCode,ATFW31000377,euMonitoringSiteCode,HAINBURG,ATOK411340000,euSurfaceWaterBodyCode,"DONAU_01, UNTERHALB DEVIN, EP GROß",riverWaterBody,Natural,Not a reservoir,MZB_16_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.16339,16.99035
AT,ATFW31000397,euMonitoringSiteCode,ATFW31000397,euMonitoringSiteCode,NOVA VES,ATOK200510004,euSurfaceWaterBodyCode,"LAINSITZ_01, EP MITTEL",riverWaterBody,Natural,Not a reservoir,"MZB_12_1,75",AT5100,euSubUnitCode,ELBE,AT5000,euRBDCode,ELBE,F,48.80995,14.93289
AT,ATFW31100027,euMonitoringSiteCode,ATFW31100027,euMonitoringSiteCode,ALT PRERAU,ATOK501930000,euSurfaceWaterBodyCode,"THAYA_03, EP MITTEL 2",riverWaterBody,Natural,Not a reservoir,MZB_18_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.80483,16.46219
AT,ATFW31100037,euMonitoringSiteCode,ATFW31100037,euMonitoringSiteCode,BERNHARDSTHAL,ATOK501940000,euSurfaceWaterBodyCode,"THAYA_02, MP",riverWaterBody,Natural,Not a reservoir,MZB_18_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.71619,16.88903
AT,ATFW31100057,euMonitoringSiteCode,ATFW31100057,euMonitoringSiteCode,HOHENAU,ATOK500020001,euSurfaceWaterBodyCode,"MARCH, MP",riverWaterBody,Natural,Not a reservoir,MZB_18_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.60164,16.93384
AT,ATFW31100077,euMonitoringSiteCode,ATFW31100077,euMonitoringSiteCode,MARCHEGG,ATOK500020001,euSurfaceWaterBodyCode,"MARCH, MP",riverWaterBody,Natural,Not a reservoir,MZB_18_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.2801,16.91603
AT,ATFW31100127,euMonitoringSiteCode,ATFW31100127,euMonitoringSiteCode,OH NEUSIEDL AN DER ZAYA,ATOK501530017,euSurfaceWaterBodyCode,"ZAYA_01, EP KLEIN",riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.60394,16.78833
AT,ATFW31100167,euMonitoringSiteCode,ATFW31100167,euMonitoringSiteCode,OH. PULKAUMDG.,ATOK501710003,euSurfaceWaterBodyCode,"THAYA_04, EP MITTEL 2",riverWaterBody,Natural,Not a reservoir,MZB_18_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.73447,16.34141
AT,ATFW31100187,euMonitoringSiteCode,ATFW31100187,euMonitoringSiteCode,OH. JUNGBUNZLAUER,ATOK501330025,euSurfaceWaterBodyCode,"PULKAU_01, EP KLEIN",riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.71833,16.26886
AT,ATFW40502017,euMonitoringSiteCode,ATFW40502017,euMonitoringSiteCode,INN BRAUNAU,ATOK305340009,euSurfaceWaterBodyCode,INN_ERING_FRAUENSTEIN,riverWaterBody,HMWB,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.26102,13.03435
AT,ATFW40502037,euMonitoringSiteCode,ATFW40502037,euMonitoringSiteCode,INN INGLING,ATOK305340011,euSurfaceWaterBodyCode,INN_INGLING UNTERWASSER-FLIEßSTRECKE,riverWaterBody,Natural,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.55699,13.43859
AT,ATFW40505037,euMonitoringSiteCode,ATFW40505037,euMonitoringSiteCode,ANTIESEN ANTIESENHOFEN,ATOK305760056,euSurfaceWaterBodyCode,ANTIESEN_OUL_1,riverWaterBody,Natural,Not a reservoir,"MZB_11_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.34667,13.40754
AT,ATFW40607017,euMonitoringSiteCode,ATFW40607017,euMonitoringSiteCode,JOCHENSTEIN,ATOK303070000,euSurfaceWaterBodyCode,DONAU,riverWaterBody,HMWB,Not a reservoir,"MZB_16_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.52066,13.70222
AT,ATFW40619016,euMonitoringSiteCode,ATFW40619016,euMonitoringSiteCode,ASCHACH PFAFFING,ATOK408710066,euSurfaceWaterBodyCode,ASCHACH_UL,riverWaterBody,Natural,Not a reservoir,"MZB_11_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.35795,13.9936
AT,ATFW40709117,euMonitoringSiteCode,ATFW40709117,euMonitoringSiteCode,TRAUN EBELSBERG ,ATOK412090028,euSurfaceWaterBodyCode,TRAUN_EBELSBERG-RWSTRECKE,riverWaterBody,Natural,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.24742,14.32475
AT,ATFW40710047,euMonitoringSiteCode,ATFW40710047,euMonitoringSiteCode,AGER FISCHERAU,ATOK411140116,euSurfaceWaterBodyCode,AGER,riverWaterBody,Natural,Not a reservoir,"MZB_11_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.08597,13.83805
AT,ATFW40713047,euMonitoringSiteCode,ATFW40713047,euMonitoringSiteCode,KREMS ANSFELDEN,ATOK411200007,euSurfaceWaterBodyCode,KREMS,riverWaterBody,Natural,Not a reservoir,"MZB_11_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.19949,14.26613
AT,ATFW40823016,euMonitoringSiteCode,ATFW40823016,euMonitoringSiteCode,GROßER BACH OH. ANZENBACH,ATOK411310001,euSurfaceWaterBodyCode,REICHRAMINGBACH,riverWaterBody,Natural,Not a reservoir,"MZB_5_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.84903,14.45561
AT,ATFW40907057,euMonitoringSiteCode,ATFW40907057,euMonitoringSiteCode,ENGHAGEN,ATOK410360009,euSurfaceWaterBodyCode,"DONAU_09 KW ABWINDEN_ASTEN BIS KW WALLSEE_MITTERKIRCHEN, EP GROß",riverWaterBody,HMWB,Not a reservoir,"MZB_16_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.23985,14.51108
AT,ATFW40916017,euMonitoringSiteCode,ATFW40916017,euMonitoringSiteCode,GUSEN ST. GEORGEN/G.,ATOK410210027,euSurfaceWaterBodyCode,GUSEN_ST.GEORGEN,riverWaterBody,Natural,Not a reservoir,"MZB_12_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,48.26595,14.44966
AT,ATFW51110127,euMonitoringSiteCode,ATFW51110127,euMonitoringSiteCode,HÖGMOOS,ATOK304690002,euSurfaceWaterBodyCode,"GEWÄSSER: SALZACH, ABSCHNITT: KW AUSLEITUNG IN HÖGMOOS BIS FUSCHERACHENMÜNDUNG",riverWaterBody,HMWB,Not a reservoir,"MZB_2_1,5",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.28474,12.87638
AT,ATFW52120107,euMonitoringSiteCode,ATFW52120107,euMonitoringSiteCode,GASTEINER ACHE,ATOK304690010,euSurfaceWaterBodyCode,"GEWÄSSER: GASTEINERACHE, ABSCHNITT: KLAMMSTEIN BIS KW REMSACH",riverWaterBody,HMWB,Not a reservoir,"MZB_2_1,5",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.16323,13.10776
AT,ATFW53110037,euMonitoringSiteCode,ATFW53110037,euMonitoringSiteCode,MÜNDUNG,ATOK305690000,euSurfaceWaterBodyCode,"GEWÄSSER: LAMMER, ABSCHNITT: SALZACH BIS WIRRAU",riverWaterBody,Natural,Not a reservoir,"MZB_11_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.58507,13.17595
AT,ATFW53110047,euMonitoringSiteCode,ATFW53110047,euMonitoringSiteCode,GOLLING,ATOK305350002,euSurfaceWaterBodyCode,"GEWÄSSER: SALZACH, ABSCHNITT: TAUGLMÜNDUNG BIS BLÜHNBACHMÜNDUNG",riverWaterBody,Natural,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.58084,13.1744
AT,ATFW54110017,euMonitoringSiteCode,ATFW54110017,euMonitoringSiteCode,HELLBRUNNER BRÜCKE,ATOK305350004,euSurfaceWaterBodyCode,"GEWÄSSER: SALZACH, ABSCHNITT: VON DER SAALACHMÜNDUNG BIS KW URSTEIN",riverWaterBody,HMWB,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.752,13.07933
AT,ATFW54110087,euMonitoringSiteCode,ATFW54110087,euMonitoringSiteCode,OBERNDORF-ST.PANTALEON,ATOK307200003,euSurfaceWaterBodyCode,"GEWÄSSER: SALZACH, ABSCHNITT: LANDESGRENZE BIS SAALACHMÜNDUNG",riverWaterBody,Natural,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.95817,12.9028
AT,ATFW54110117,euMonitoringSiteCode,ATFW54110117,euMonitoringSiteCode,"UH. KW ROTT, Ü1",ATOK305600000,euSurfaceWaterBodyCode,"GEWÄSSER: SAALACH, ABSCHNITT: SALZACH BIS GRENZE ZU BAYERN",riverWaterBody,HMWB,Not a reservoir,"MZB_11_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.84241,13.00323
AT,ATFW55010057,euMonitoringSiteCode,ATFW55010057,euMonitoringSiteCode,KENDLBRUCK,ATOK801180001,euSurfaceWaterBodyCode,"GEWÄSSER: MUR, ABSCHNITT: LANDESGRENZE BIS KENDLBRUCK; 8011802",riverWaterBody,Natural,Not a reservoir,"MZB_2_1,5",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.06961,13.88198
AT,ATFW60800376,euMonitoringSiteCode,ATFW60800376,euMonitoringSiteCode,GESÄUSEEINGANG,ATOK411250009,euSurfaceWaterBodyCode,ENNS GESÄUSE,riverWaterBody,Natural,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.58796,14.53681
AT,ATFW61300327,euMonitoringSiteCode,ATFW61300327,euMonitoringSiteCode,FÜRSTENFELD,ATOK1001380140,euSurfaceWaterBodyCode,FEISTRITZ,riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.04019,16.10841
AT,ATFW61300337,euMonitoringSiteCode,ATFW61300337,euMonitoringSiteCode,ALTENMARKT/FÜRSTENFELD,ATOK1001380092,euSurfaceWaterBodyCode,LAFNITZ,riverWaterBody,Natural,Not a reservoir,MZB_13_2,AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.0764,16.08784
AT,ATFW61400127,euMonitoringSiteCode,ATFW61400127,euMonitoringSiteCode,KALSDORF,ATOK802710015,euSurfaceWaterBodyCode,MUR,riverWaterBody,HMWB,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.96774,15.48848
AT,ATFW61400137,euMonitoringSiteCode,ATFW61400137,euMonitoringSiteCode,AUTOBAHNBRÜCKE SPIELFELD,ATOK802710014,euSurfaceWaterBodyCode,MUR,riverWaterBody,HMWB,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.7098,15.63399
AT,ATFW61400147,euMonitoringSiteCode,ATFW61400147,euMonitoringSiteCode,RADKERSBURG,ATOK804000000,euSurfaceWaterBodyCode,MUR (MURA),riverWaterBody,Natural,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.68375,15.98716
AT,ATFW61400217,euMonitoringSiteCode,ATFW61400217,euMonitoringSiteCode,BRUCK/MUR MÜNDUNG,ATOK801780000,euSurfaceWaterBodyCode,MÜRZ,riverWaterBody,HMWB,Not a reservoir,"MZB_3_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.4122,15.27403
AT,ATFW61400267,euMonitoringSiteCode,ATFW61400267,euMonitoringSiteCode,WILDON,ATOK802780045,euSurfaceWaterBodyCode,KAINACH,riverWaterBody,HMWB,Not a reservoir,"MZB_14_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.88627,15.50421
AT,ATFW61400287,euMonitoringSiteCode,ATFW61400287,euMonitoringSiteCode,WAGNA,ATOK802790081N,euSurfaceWaterBodyCode,SULM,riverWaterBody,HMWB,Not a reservoir,"MZB_14_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.75497,15.54588
AT,ATFW61400597,euMonitoringSiteCode,ATFW61400597,euMonitoringSiteCode,BRUCK/MUR LEOBNERBRÜCKE,ATOK802710002,euSurfaceWaterBodyCode,MUR,riverWaterBody,HMWB,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.40696,15.2614
AT,ATFW71500967,euMonitoringSiteCode,ATFW71500967,euMonitoringSiteCode,NIKOLSDORF,ATOK900470001,euSurfaceWaterBodyCode,DRAU,riverWaterBody,Natural,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,46.7795,12.89269
AT,ATFW72100967,euMonitoringSiteCode,ATFW72100967,euMonitoringSiteCode,WEIßHAUS,ATOK307080000,euSurfaceWaterBodyCode,LECH,riverWaterBody,Natural,Not a reservoir,"MZB_6_1,5",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.55712,10.68661
AT,ATFW72200807,euMonitoringSiteCode,ATFW72200807,euMonitoringSiteCode,SCHARNITZ,ATOK302340001,euSurfaceWaterBodyCode,ISAR_1,riverWaterBody,Natural,Not a reservoir,"MZB_6_1,5",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.38018,11.28592
AT,ATFW73160967,euMonitoringSiteCode,ATFW73160967,euMonitoringSiteCode,LANDECK,ATOK304990003,euSurfaceWaterBodyCode,SANNA,riverWaterBody,Natural,Not a reservoir,"MZB_2_1,5",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.14321,10.56164
AT,ATFW73200617,euMonitoringSiteCode,ATFW73200617,euMonitoringSiteCode,MILS,ATOK304980006,euSurfaceWaterBodyCode,INN_2,riverWaterBody,HMWB,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.2795,11.53381
AT,ATFW73200987,euMonitoringSiteCode,ATFW73200987,euMonitoringSiteCode,ERL,ATOK307030000,euSurfaceWaterBodyCode,INN,riverWaterBody,HMWB,Not a reservoir,"MZB_17_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.70106,12.16326
AT,ATFW73290907,euMonitoringSiteCode,ATFW73290907,euMonitoringSiteCode,STRASS I.Z.,ATOK304940001,euSurfaceWaterBodyCode,ZILLER,riverWaterBody,HMWB,Not a reservoir,"MZB_2_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.4016,11.83785
AT,ATFW73390967,euMonitoringSiteCode,ATFW73390967,euMonitoringSiteCode,KÖSSEN,ATOK300910019,euSurfaceWaterBodyCode,GROßACHE_1,riverWaterBody,Natural,Not a reservoir,"MZB_5_1,75",AT1001,euSubUnitCode,DANUBE,AT1000,euRBDCode,DANUBE,F,47.68845,12.39399
AT,ATFW80207027,euMonitoringSiteCode,ATFW80207027,euMonitoringSiteCode,"BREGENZERACH, BREGENZ",ATOK100930000,euSurfaceWaterBodyCode,BREGENZERACH,riverWaterBody,HMWB,Not a reservoir,"MZB_9_1,75",AT2100,euSubUnitCode,RHINE,AT2000,euRBDCode,RHINE,F,47.48693,9.72175
