monitoringSiteIdentifier,monitoringSiteIdentifierScheme,phenomenonTimeReferenceYear,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,resultEmissionsUom,resultEmissionsValue,procedureEstimateDetail,resultObservationStatus,Remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_100-41-4,Ethylbenzene,kg/a,1.67401815,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4378
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_100-42-5,Styrene,kg/a,45.19849005,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4414
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_10605-21-7,Carbendazim,kg/a,0.2745389766,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4376
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_1066-51-9,Aminomethylphosphonic acid (AMPA),kg/a,25.054471645,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4403
IT19-R1905400001,eionetMonitoringSiteCode,2020,CAS_1066-51-9,Aminomethylphosphonic acid (AMPA),kg/a,1.27210016666667,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B15 ""Arena"" del ""PIANO DI TUTELA DELLE ACQUE DELLA SICILIA -DICEMBRE 2007"".  La distanza della foce dalla stazione di monitoraggio è circa 2 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4427
IT19-R1905400001,eionetMonitoringSiteCode,2020,CAS_1071-83-6,Glyphosate,kg/a,0.170647583333333,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B15 ""Arena"" del ""PIANO DI TUTELA DELLE ACQUE DELLA SICILIA -DICEMBRE 2007"".  La distanza della foce dalla stazione di monitoraggio è circa 2 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4438
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_1071-83-6,Glyphosate,kg/a,40.640377773,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4404
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_107534-96-3,Tebuconazole,kg/a,0.089280968,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4405
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_108-88-3,Toluene,kg/a,20.42302143,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4406
ES060ESPFMA082,euMonitoringSiteCode,2020,CAS_117-81-7,Di(2-ethylhexyl)phthalate (DEHP),kg/a,82.7192736039,FloodY,,Upper emissions value following OSPAR procedure,https://cdr.eionet.europa.eu/es/eea/wise_soe/wise1/envyffmbg/Emissions_ES_2020_Rivers_RiverineInputLoads.xml,2022-02-02 13:20:43.000,valid,A,,5044
