CountryCode,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45
AT,0.8132499999999997,0.6007500000000008,0.4144999999999996,0.22924999999999982
BE,0.964214046822744,0.7023541247484915,0.4700000000000006,0.27639839034205255
BG,0.8102727272727276,0.6223409090909091,0.41279545454545447,0.25827272727272726
CY,0.9630000000000001,0.7140666666666665,0.4823571428571428,0.2424285714285714
DE,0.7649999999999999,0.575,0.4133333333333334,0.17666666666666667
EE,0.7831249999999998,0.570625,0.44375,0.29500000000000004
ES,0.8633333333333335,0.6490476190476191,0.43174603174603177,0.21746031746031755
FI,0.8000000000000004,0.5999999999999999,0.4000000000000002,0.2000000000000001
FR,0.9355767553051664,0.7883046685446008,0.5498697207042262,0.29586819084507066
GB,0.9004526748971213,0.7541152263374494,0.5826446280991744,0.42107438016528964
HR,0.8026785714285697,0.602678571428572,0.4026785714285707,0.20267857142857104
IE,0.8418439716312037,0.7239716312056732,0.6058156028368802,0.40659574468085213
IT,0.9067010309278348,0.7039999999999996,0.5310999999999997,0.2918999999999997
LT,0.7117241379310347,0.519655172413793,0.3379310344827587,0.18517241379310345
LU,0.9728,0.7540000000000001,0.5204,0.3036
LV,0.8644444444444443,0.6588888888888887,0.40888888888888886,0.22666666666666668
NL,0.8000000000000038,0.5138811188811174,0.34267412587412643,0.1721444055944059
NO,0.9614285714285715,0.83,0.5499999999999999,0.27
PL,0.7517385892116204,0.5537136929460569,0.3546887966804981,0.1713692946058093
PT,0.9105263157894737,0.629047619047619,0.4505263157894736,0.22473684210526312
RO,0.7400000000000003,0.5515789473684211,0.38290909090909114,0.21111111111111117
SE,0.7301724137931037,0.5287931034482757,0.39413793103448264,0.1456666666666666
SI,0.7999999999999988,0.6000000000000009,0.3999999999999994,0.1999999999999997
SK,0.8415999999999988,0.6417333333333339,0.4418666666666663,0.24199999999999988
